dataset,PYGAM,MGCV_SPLINE,EBM,NAM,GAMINET,EXNN,IGANN,LR,DT,RF,XGB,CATBOOST,MLP,TABNET
college,0.140±0.016,0.082±0.051,0.396±0.029,2.826±1.102,5.712±2.720,4.328±0.343,0.106±0.048,0.000±0.000,0.000±0.000,0.198±0.008,0.048±0.004,0.480±0.000,0.256±0.049,4.626±1.571
water,0.104±0.005,0.910±0.313,0.516±0.051,2.096±0.593,2.462±0.451,38.852±14.416,0.056±0.009,0.000±0.000,0.012±0.004,0.196±0.054,0.080±0.000,0.658±0.004,0.348±0.037,4.564±1.028
stroke,1.118±0.096,0.352±0.099,0.478±0.065,6.630±2.735,5.326±2.464,75.246±8.068,0.100±0.050,0.132±0.004,0.002±0.004,0.204±0.024,0.080±0.000,0.740±0.035,0.480±0.145,4.764±1.149
telco,1.714±0.123,0.530±0.094,0.998±0.165,17.650±6.678,15.230±8.198,63.300±8.717,0.384±0.185,1.020±0.000,0.010±0.000,0.174±0.036,0.130±0.012,1.010±0.010,0.956±0.430,3.942±1.074
compas,0.596±0.066,1.448±0.384,0.644±0.046,11.150±3.318,4.992±1.642,83.576±42.462,1.156±1.211,0.010±0.000,0.010±0.000,0.180±0.048,0.080±0.007,0.832±0.008,1.012±0.356,4.642±0.817
fico,3.272±1.596,15.590±2.948,1.110±0.117,16.244±2.161,12.050±5.308,71.520±6.022,0.306±0.304,1.030±0.000,0.040±0.000,0.180±0.025,0.136±0.009,1.026±0.009,0.986±0.100,5.284±1.758
adult,32.424±0.941,32.377±19.628,13.312±1.060,67.090±18.596,37.458±22.962,244.040±72.620,5.630±6.196,1.078±0.004,0.070±0.000,0.212±0.011,0.980±0.229,1.994±0.011,3.750±0.338,14.092±1.893
bank,11.142±3.348,11.974±3.128,4.972±0.374,96.118±25.529,39.210±17.473,268.004±48.053,1.876±1.167,1.080±0.000,0.134±0.005,0.216±0.009,0.948±0.097,2.298±0.029,4.688±0.227,22.634±1.359
airline,10.956±0.105,144.894±25.058,17.642±0.455,81.136±23.471,127.908±37.400,1141.652±302.074,12.190±1.856,1.076±0.005,0.186±0.005,0.328±0.015,0.680±0.027,2.842±0.033,17.038±1.271,40.450±6.052
weather,54.490±6.291,271.994±52.868,36.320±1.506,228.432±81.803,101.056±31.648,792.080±223.089,26.478±12.834,0.774±0.193,0.822±0.018,0.854±0.011,1.710±0.014,3.414±0.056,15.872±0.828,52.226±9.737
